SampleID,Location,Pos 1,Pos 2,Pos 3,Pos 4,Pos 5,Pos 6,Pos 7,Pos 8,Pos 9,Pos 10,Pos 11,Pos 12,Pos 13,Pos 14,Pos 15,Pos 16,Pos 17,Pos 18,Pos 19,Pos 20,Pos 21,Pos 22,Pos 23,Pos 24,Lat,Long,SampleNumber,Year,Date
SenThies031.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 31.000000, 2006.000000, 732938.000000
SenThies036.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 36.000000, 2006.000000, 732938.000000
SenThies037.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 37.000000, 2006.000000, 732938.000000
SenThies038.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 38.000000, 2006.000000, 732938.000000
SenThies047.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 4.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 47.000000, 2006.000000, 732940.000000
SenThies052.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 52.000000, 2006.000000, 732941.000000
SenThies053.2006,nodistrict, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 53.000000, 2006.000000, 732941.000000
SenThies055.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 55.000000, 2006.000000, 732945.000000
SenThies056.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 56.000000, 2006.000000, 732945.000000
SenThies057.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 57.000000, 2006.000000, 732945.000000
SenThies059.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 59.000000, 2006.000000, 732945.000000
SenThies060.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 60.000000, 2006.000000, 732945.000000
SenThies063.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 63.000000, 2006.000000, 732945.000000
SenThies065.2006,nodistrict, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 65.000000, 2006.000000, 732945.000000
SenThies066.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 4.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 66.000000, 2006.000000, 732945.000000
SenThies068.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 68.000000, 2006.000000, 732946.000000
SenThies079.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 79.000000, 2006.000000, 732922.000000
SenThies083.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 83.000000, 2006.000000, 732922.000000
SenThies085.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 4.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 85.000000, 2006.000000, 732922.000000
SenThies086.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 86.000000, 2006.000000, 732922.000000
SenThies093.2006,nodistrict, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 93.000000, 2006.000000, 732923.000000
SenThies095.2006,nodistrict, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 95.000000, 2006.000000, 732923.000000
SenThies099.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 99.000000, 2006.000000, 732924.000000
SenThies103.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 103.000000, 2006.000000, 732929.000000
SenThies105.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 105.000000, 2006.000000, 732929.000000
SenThies108.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 108.000000, 2006.000000, 732930.000000
SenThies115.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 115.000000, 2006.000000, 732930.000000
SenThies116.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 4.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 4.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 116.000000, 2006.000000, 732930.000000
SenThies120.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 120.000000, 2006.000000, 732932.000000
SenThies123.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 4.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 123.000000, 2006.000000, 732966.000000
SenThies128.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 128.000000, 2006.000000, 732966.000000
SenThies131.2006,nodistrict, 1.000000, 1.000000, 4.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 131.000000, 2006.000000, 732966.000000
SenThies136.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 136.000000, 2006.000000, 732966.000000
SenThies139.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 139.000000, 2006.000000, 732967.000000
SenThies140.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 140.000000, 2006.000000, 732967.000000
SenThies141.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 141.000000, 2006.000000, 732968.000000
SenThies143.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 3.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 143.000000, 2006.000000, 732968.000000
SenThies148.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 148.000000, 2006.000000, 732969.000000
SenThies150.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 150.000000, 2006.000000, 732969.000000
SenThies153.2006,nodistrict, 3.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 153.000000, 2006.000000, 732975.000000
SenThies155.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 155.000000, 2006.000000, 732975.000000
SenThies158.2006,nodistrict, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 158.000000, 2006.000000, 732976.000000
SenThies161.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 161.000000, 2006.000000, 732976.000000
SenThies163.2006,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 163.000000, 2006.000000, 732976.000000
SenThies170.2006,nodistrict, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 170.000000, 2006.000000, 732980.000000
SenThies178.2006,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 178.000000, 2006.000000, 732981.000000
SenThies184.2006,nodistrict, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 184.000000, 2006.000000, 732952.000000
SenThies185.2006,nodistrict, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 4.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 185.000000, 2006.000000, 732952.000000
SenThies083.2007,nodistrict, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 4.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 83.000000, 2007.000000, 733328.000000
SenThies015.2007,nodistrict, 1.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 15.000000, 2007.000000, 733309.000000
SenThies125.2007,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 2.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 125.000000, 2007.000000, 733333.000000
SenThies086.2007,nodistrict, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, NaN, NaN, 86.000000, 2007.000000, 733326.000000
SenThies187.2007,nodistrict, 2.000000, 1.000000, 1.000000, 2.000000, 1.000000, 1.000000, 2.000000, 2.000000, 1.000000, 1.000000, 4.000000, 2.000000, 1.000000, 2.000000, 2.000000, 2.000000, 1.000000, 1.000000, 1.000000, 2.000000, 1.000000, 2.000000, 2.000000, 1.000000, NaN, NaN, 187.000000, 2007.000000, NaN
